store_no,chain_no,chain,geoaddress,geocity,geostate,geozip,geozip4,county,dma_market,dma_no,segment,subsegment,category,latitude,longitude,geoquality,yr_built,co_fr,co_fr_no,seg_no
111991,12,Pizza Hut-TR,4601 SATELLITE BLVD,DULUTH,GA,30096,6201.0,GWINNETT,ATLANTA  GA,524,QSR,QSR,Pizza,33.941591,-84.164122,1BEST(Actual),1987,FRANCHISE,1.0,1
111977,12,Pizza Hut-TR,4451 TOWNE LAKE PKWY,WOODSTOCK,GA,30189,8232.0,CHEROKEE,ATLANTA  GA,524,QSR,QSR,Pizza,34.12682,-84.57097,1BEST(Actual),1993,FRANCHISE,1.0,1
111997,12,Pizza Hut-TR,6951 S SWEETWATER RD,LITHIA SPRINGS,GA,30122,2465.0,DOUGLAS,ATLANTA  GA,524,QSR,QSR,Pizza,33.78529,-84.65645,1BEST(Actual),1993,FRANCHISE,1.0,1
143724,12,Pizza Hut-TR,309 JONESBORO RD,MCDONOUGH,GA,30253,3725.0,HENRY,ATLANTA  GA,524,QSR,QSR,Pizza,33.45331,-84.17024,1BEST(Actual),1994,FRANCHISE,1.0,1
143722,12,Pizza Hut-TR,3150 HIGHWAY 34 E,NEWNAN,GA,30265,2122.0,COWETA,ATLANTA  GA,524,QSR,QSR,Pizza,33.408352,-84.679621,1BEST(Actual),1994,FRANCHISE,1.0,1
143556,12,Pizza Hut-TR,3126 WASHINGTON RD,EAST POINT,GA,30344,5415.0,FULTON,ATLANTA  GA,524,QSR,QSR,Pizza,33.67023,-84.46214,1BEST(Actual),1982,COMPANY,0.0,1
143725,12,Pizza Hut-TR,1475 BUFORD DR,LAWRENCEVILLE,GA,30043,3719.0,GWINNETT,ATLANTA  GA,524,QSR,QSR,Pizza,34.004877,-83.986643,1BEST(Actual),1995,FRANCHISE,1.0,1
442968,12,Pizza Hut-TR,1742 ZEBULON RD,GRIFFIN,GA,30224,5187.0,SPALDING,ATLANTA  GA,524,QSR,QSR,Pizza,33.193655,-84.284705,1BEST(Actual),2016,FRANCHISE,1.0,1
442421,12,Pizza Hut-TR,928 S PARK ST,CARROLLTON,GA,30117,4501.0,CARROLL,ATLANTA  GA,524,QSR,QSR,Pizza,33.564573,-85.07475,1BEST(Actual),2016,FRANCHISE,1.0,1
435340,12,Pizza Hut-TR,1075 WHITLOCK AVE SW,MARIETTA,GA,30064,1941.0,COBB,ATLANTA  GA,524,QSR,QSR,Pizza,33.951518,-84.580513,1BEST(Actual),2016,FRANCHISE,1.0,1
