store_no,curr_natl_grade,curr_natl_index,curr_annual_sls_k,curr_mkt_grade,label_cng_cmg,label_cng_lt_png,curr_mkt_index,survey_yr_last_c,survey_yr_next_c,ttl_no_surveys_c,past_yrs,past_natl_grade,label_png,past_natl_index,past_annual_sls_k,past_mkt_grade,label_png_pmg,past_mkt_index,survey_yr_last_p,survey_yr_next_p,ttl_no_surveys_p,year
492025,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491406,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491405,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491404,A,144.0,3645.0,A-,PANDA(A/A),PANDA(A<-),134.0,2023.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491403,A,137.0,3467.0,A-,PANDA(A/A),PANDA(A<-),133.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491402,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
494083,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
494081,D-,71.0,1797.0,D,PANDA(D/D),PANDA(D<-),79.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491416,B-,114.0,2885.0,B+,PANDA(B/B),PANDA(B<-),127.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491437,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491429,C-,92.0,2329.0,C,PANDA(C/C),PANDA(C<-),100.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491441,D+,86.0,2177.0,C-,PANDA(D/C),PANDA(D<-),90.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491414,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
494073,F,66.0,1670.0,D,PANDA(F/D),PANDA(F<-),84.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
494080,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491408,B,115.0,2911.0,B,PANDA(B/B),PANDA(B<-),121.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491436,B-,111.0,2809.0,C,PANDA(B/C),PANDA(B<-),103.0,2023.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
494082,F,20.0,506.0,F,PANDA(F/F),PANDA(F<-),31.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491433,C+,109.0,2759.0,A+,PANDA(C/A),PANDA(C<-),173.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491418,C,95.0,2404.0,B,PANDA(C/B),PANDA(C<-),121.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
496594,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491439,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491428,F,63.0,1595.0,C,PANDA(F/C),PANDA(F<-),99.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491420,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491419,C-,94.0,2379.0,B,PANDA(C/B),PANDA(C<-),124.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491424,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
494074,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491589,D+,85.0,2151.0,C,PANDA(D/C),PANDA(D<-),95.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
495749,D,80.0,2025.0,D,PANDA(D/D),PANDA(D<-),79.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
496723,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491545,F,67.0,1696.0,F,PANDA(F/F),PANDA(F<-),66.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
492026,C+,108.0,2733.0,C,PANDA(C/C),PANDA(C<-),104.0,2024.0,2023.0,2.0,,,PANDA,,,,PANDA,,,,,2024
502423,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
492030,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
455010,,,,,PANERA,PANERA,,,,,,,PANERA,,,,PANERA,,,,,2024
471843,F,67.0,1983.0,F,PANERA(F/F),PANERA(F<-),69.0,2024.0,2023.0,4.0,,,PANERA,,,,PANERA,,,,,2024
384842,F,68.0,2012.0,D,PANERA(F/D),PANERA(F<F),83.0,2024.0,2022.0,4.0,,F,PANERA(F),68.0,1869.0,C-,PANERA(F/C),92.0,2020.0,2018.0,4.0,2024
